id,value,context_factor_id,context_factor_value_id,thing_id,user_id,created_at,updated_at,id,title,description,type,image,indoorsLocation,display_title,active,id,title,display_title,active_in_training,active_in_prediction,id,title,display_title,description,context_factor_id,active_in_training,active_in_prediction
2427,0,1,1,71,56588921a12346df9961a8b9fe3afb89,"2019-10-15 18:52:31.678000","2019-10-15 18:52:31.679000",71,"post box",,BCN_I,post-box.png,0,"Post Box",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2437,-1,1,1,53,56588921a12346df9961a8b9fe3afb89,"2019-10-15 18:53:55.252000","2019-10-15 18:53:55.252000",53,"equipment vending machine","Selling various pieces of equipment, such as bike tubes.",BCN_I,equipment-vending-machine.jpg,0,"Equipment Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2488,1,1,1,8,c7147dcfbcdf428f819527549d90306a,"2019-10-15 19:26:15.286000","2019-10-15 19:26:15.286000",8,"vending machine with drinks",,BCN_I,vending-machine-with-drinks.jpg,1,"Vending Machine with Drinks",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2492,0,1,1,59,c7147dcfbcdf428f819527549d90306a,"2019-10-15 19:26:46.656000","2019-10-15 19:26:46.656000",59,"public wifi access point",,BCN_I,public-wifi.jpg,1,"Public WiFi Access Point",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2512,0,1,1,44,c7147dcfbcdf428f819527549d90306a,"2019-10-15 19:28:17.197000","2019-10-15 19:28:17.197000",44,"book vending machine",,BCN_I,book-vending-machine.jpg,1,"Book Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2667,-1,1,1,18,6d0c7159a5c84d108cf952dad81cda28,"2019-10-16 12:20:18.484000","2019-10-16 12:20:18.484000",18,"phone charging station",,BCN_I,phone-charging-station.jpg,1,"Public Phone Charging Station",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2671,0,1,1,46,6d0c7159a5c84d108cf952dad81cda28,"2019-10-16 12:20:52.894000","2019-10-16 12:20:52.895000",46,"electronics vending machine","Selling charging cables, computer mouses, phones, powerbanks, …",BCN_I,electronics-vending-machine.jpg,1,"Electronics Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2842,0,1,1,58,11ff30ed7d8f4dab8b1dcd7450e7b507,"2019-10-17 18:58:02.742000","2019-10-17 18:58:02.742000",58,"stamps vending machine",,BCN_I,stamp-vending-machine.jpg,0,"Stamps Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2851,-1,1,1,6,ea1f2ef371664b0abb590f0c3af4c67d,"2019-10-17 21:19:42.296000","2019-10-17 21:19:42.296000",6,ATM,,BCN_I,atm.jpg,1,ATM/Cashpoint,1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
3022,-1,1,1,44,561af6967383466a9838f517b2cb453c,"2019-10-30 18:23:57.273000","2019-10-30 18:23:57.273000",44,"book vending machine",,BCN_I,book-vending-machine.jpg,1,"Book Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
3048,0,1,1,24,561af6967383466a9838f517b2cb453c,"2019-10-30 18:29:36.536000","2019-10-30 18:29:36.536000",24,"public computer","Typically located in hotels, airports, …",BCN_I,public-computer.jpg,1,"Public Computer or Internet Terminal",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
3053,1,1,1,50,561af6967383466a9838f517b2cb453c,"2019-10-30 18:32:32.361000","2019-10-30 18:32:32.361000",50,"milk vending machine","Selling fresh, unprocessed milk. Typically requires you to bring your own bottle.",BCN_I,milk-vending-machine.jpg,1,"Milk Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
3186,-1,1,1,28,0f6159735a224d88a050864ae5a4bc51,"2019-10-30 19:02:32.757000","2019-10-30 19:02:32.757000",28,"bike sharing station",,BCN_I,bike-sharing-station.jpg,0,"Bike Sharing Station",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
3197,-1,1,1,61,561af6967383466a9838f517b2cb453c,"2019-10-30 19:03:54.086000","2019-10-30 19:03:54.086000",61,"gambling machine",,BCN_I,gambling-machine.jpg,1,"Gambling Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
